city,lat,lng,country,iso2,admin_name,population,population_proper
Hoyerswerda,51.4331,14.25,Germany,DE,Saxony,32123.0,32123.0
Altenburg,50.985,12.4333,Germany,DE,Thuringia,32074.0,32074.0
Delbrück,51.7667,8.5667,Germany,DE,North Rhine-Westphalia,31949.0,31949.0
Fürstenwalde,52.3667,14.0667,Germany,DE,Brandenburg,31941.0,31941.0
Achim,53.013,9.033,Germany,DE,Lower Saxony,31911.0,31911.0
Itzehoe,53.925,9.5164,Germany,DE,Schleswig-Holstein,31879.0,31879.0
Georgsmarienhütte,52.2031,8.0447,Germany,DE,Lower Saxony,31827.0,31827.0
Herrenberg,48.5967,8.8708,Germany,DE,Baden-Württemberg,31545.0,31545.0
Oer-Erkenschwick,51.6422,7.2508,Germany,DE,North Rhine-Westphalia,31442.0,31442.0
Radolfzell am Bodensee,47.7369,8.9697,Germany,DE,Baden-Württemberg,31203.0,31203.0
Kreuztal,50.962,8.0064,Germany,DE,North Rhine-Westphalia,31187.0,31187.0
Rheinberg,51.5467,6.6006,Germany,DE,North Rhine-Westphalia,31097.0,31097.0
Bramsche,52.4089,7.9728,Germany,DE,Lower Saxony,30952.0,30952.0
Neuruppin,52.9222,12.8,Germany,DE,Brandenburg,30846.0,30846.0
Einbeck,51.8167,9.8667,Germany,DE,Lower Saxony,30826.0,30826.0
Werl,51.5528,7.9139,Germany,DE,North Rhine-Westphalia,30772.0,30772.0
Schönebeck,52.0167,11.75,Germany,DE,Saxony-Anhalt,30720.0,30720.0
Burgdorf,52.45,10.0083,Germany,DE,Lower Saxony,30699.0,30699.0
Gevelsberg,51.3265,7.3559,Germany,DE,North Rhine-Westphalia,30695.0,30695.0
Geesthacht,53.4381,10.3747,Germany,DE,Schleswig-Holstein,30551.0,30551.0
Haan,51.1931,7.0131,Germany,DE,North Rhine-Westphalia,30484.0,30484.0
Lohmar,50.8415,7.2166,Germany,DE,North Rhine-Westphalia,30363.0,30363.0
Osterholz-Scharmbeck,53.2269,8.7947,Germany,DE,Lower Saxony,30300.0,30300.0
Weil am Rhein,47.5947,7.6108,Germany,DE,Baden-Württemberg,30175.0,30175.0
Ennepetal,51.3021,7.3425,Germany,DE,North Rhine-Westphalia,30075.0,30075.0
Riesa,51.3081,13.2939,Germany,DE,Saxony,30054.0,30054.0
Taunusstein,50.1435,8.1606,Germany,DE,Hesse,30005.0,30005.0
Andernach,50.4397,7.4017,Germany,DE,Rhineland-Palatinate,29966.0,29966.0
Meschede,51.3503,8.2836,Germany,DE,North Rhine-Westphalia,29921.0,29921.0
Schwedt (Oder),53.0631,14.2831,Germany,DE,Brandenburg,29920.0,29920.0
Friedberg,48.35,10.9833,Germany,DE,Bavaria,29810.0,29810.0
Bad Hersfeld,50.8683,9.7067,Germany,DE,Hesse,29800.0,29800.0
Gaggenau,48.8039,8.3194,Germany,DE,Baden-Württemberg,29777.0,29777.0
Merzig,49.4471,6.6312,Germany,DE,Saarland,29745.0,29745.0
Neuburg,48.7333,11.1833,Germany,DE,Bavaria,29682.0,29682.0
Derne,51.6667,7.6167,Germany,DE,North Rhine-Westphalia,29662.0,29662.0
Vaihingen an der Enz,48.9328,8.9564,Germany,DE,Baden-Württemberg,29467.0,29467.0
Rietberg,51.8,8.4333,Germany,DE,North Rhine-Westphalia,29466.0,29466.0
Saalfeld,50.6506,11.3542,Germany,DE,Thuringia,29457.0,29457.0
Bretten,49.0364,8.7061,Germany,DE,Baden-Württemberg,29412.0,29412.0
Waltrop,51.6167,7.3833,Germany,DE,North Rhine-Westphalia,29345.0,29345.0
Oelde,51.8258,8.1436,Germany,DE,North Rhine-Westphalia,29326.0,29326.0
Tönisvorst,51.3208,6.4931,Germany,DE,North Rhine-Westphalia,29306.0,29306.0
Güstrow,53.7939,12.1764,Germany,DE,Mecklenburg-Western Pomerania,29241.0,29241.0
Friedberg,50.3353,8.755,Germany,DE,Hesse,29180.0,29180.0
Landsberg,48.0528,10.8689,Germany,DE,Bavaria,29132.0,29132.0
Northeim,51.7067,10.0011,Germany,DE,Lower Saxony,29107.0,29107.0
Kelkheim (Taunus),50.138,8.4525,Germany,DE,Hesse,29055.0,29055.0
Springe,52.2167,9.55,Germany,DE,Lower Saxony,28951.0,28951.0
Unterschleißheim,48.2833,11.5667,Germany,DE,Bavaria,28907.0,28907.0
Bühl,48.6953,8.135,Germany,DE,Baden-Württemberg,28900.0,28900.0
Schwandorf,49.3236,12.0993,Germany,DE,Bavaria,28828.0,28828.0
Höxter,51.7667,9.3667,Germany,DE,North Rhine-Westphalia,28824.0,28824.0
Rösrath,50.9,7.1833,Germany,DE,North Rhine-Westphalia,28693.0,28693.0
Schwelm,51.2904,7.2972,Germany,DE,North Rhine-Westphalia,28542.0,28542.0
Rendsburg,54.3044,9.6644,Germany,DE,Schleswig-Holstein,28470.0,28470.0
Steinheim am Main,50.1257,8.83,Germany,DE,Hesse,28403.0,28403.0
Winnenden,48.8764,9.3978,Germany,DE,Baden-Württemberg,28339.0,28339.0
Idar-Oberstein,49.7019,7.3253,Germany,DE,Rhineland-Palatinate,28323.0,28323.0
Bad Neuenahr-Ahrweiler,50.5447,7.1133,Germany,DE,Rhineland-Palatinate,28251.0,28251.0
Grimma,51.2386,12.7253,Germany,DE,Saxony,28180.0,28180.0
Wegberg,51.1333,6.2667,Germany,DE,North Rhine-Westphalia,28175.0,28175.0
Geislingen an der Steige,48.6244,9.8306,Germany,DE,Baden-Württemberg,28122.0,28122.0
Königsbrunn,48.2689,10.8908,Germany,DE,Bavaria,28076.0,28076.0
Meißen,51.1636,13.4775,Germany,DE,Saxony,28044.0,28044.0
Leichlingen,51.1167,7.0167,Germany,DE,North Rhine-Westphalia,28031.0,28031.0
Kevelaer,51.5833,6.25,Germany,DE,North Rhine-Westphalia,28021.0,28021.0
Zeitz,51.0478,12.1383,Germany,DE,Saxony-Anhalt,27955.0,27955.0
Emmendingen,48.1214,7.8492,Germany,DE,Baden-Württemberg,27882.0,27882.0
Sundern,51.3167,8.0,Germany,DE,North Rhine-Westphalia,27802.0,27802.0
Baunatal,51.2589,9.4183,Germany,DE,Hesse,27750.0,27750.0
Olching,48.2,11.3167,Germany,DE,Bavaria,27741.0,27741.0
Reinbek,53.5089,10.2483,Germany,DE,Schleswig-Holstein,27649.0,27649.0
Mechernich,50.6,6.65,Germany,DE,North Rhine-Westphalia,27598.0,27598.0
Wetter (Ruhr),51.3881,7.395,Germany,DE,North Rhine-Westphalia,27441.0,27441.0
Griesheim,49.8594,8.5525,Germany,DE,Hesse,27435.0,27435.0
Arnstadt,50.8342,10.9464,Germany,DE,Thuringia,27304.0,27304.0
Aschersleben,51.75,11.4667,Germany,DE,Saxony-Anhalt,27220.0,27220.0
Geilenkirchen,50.9653,6.1194,Germany,DE,North Rhine-Westphalia,27214.0,27214.0
Rheinbach,50.6256,6.9491,Germany,DE,North Rhine-Westphalia,27063.0,27063.0
Overath,50.95,7.3,Germany,DE,North Rhine-Westphalia,27040.0,27040.0
Baesweiler,50.9,6.1833,Germany,DE,North Rhine-Westphalia,27033.0,27033.0
Neustadt,48.8111,9.3656,Germany,DE,Baden-Württemberg,26987.0,26987.0
Leimen,49.3481,8.6911,Germany,DE,Baden-Württemberg,26968.0,26968.0
Wangen im Allgäu,47.6858,9.8342,Germany,DE,Baden-Württemberg,26905.0,26905.0
Schloß Holte-Stukenbrock,51.8833,8.6167,Germany,DE,North Rhine-Westphalia,26776.0,26776.0
Lohne,52.6667,8.2386,Germany,DE,Lower Saxony,26762.0,26762.0
Wiesloch,49.2942,8.6983,Germany,DE,Baden-Württemberg,26758.0,26758.0
Hamminkeln,51.7319,6.5908,Germany,DE,North Rhine-Westphalia,26739.0,26739.0
Strausberg,52.5808,13.8814,Germany,DE,Brandenburg,26587.0,26587.0
Lauf,49.5103,11.2772,Germany,DE,Bavaria,26515.0,26515.0
Neckarsulm,49.1917,9.2244,Germany,DE,Baden-Württemberg,26492.0,26492.0
Heiligenhaus,51.3265,6.971,Germany,DE,North Rhine-Westphalia,26335.0,26335.0
Sangerhausen,51.4667,11.3,Germany,DE,Saxony-Anhalt,26297.0,26297.0
Hennigsdorf,52.6378,13.2036,Germany,DE,Brandenburg,26272.0,26272.0
Ehingen an der Donau,48.2833,9.7236,Germany,DE,Baden-Württemberg,26259.0,26259.0
Butzbach,50.4367,8.6622,Germany,DE,Hesse,26197.0,26197.0
Nordenham,53.5,8.4667,Germany,DE,Lower Saxony,26193.0,26193.0
Hohen Neuendorf,52.6667,13.2831,Germany,DE,Brandenburg,26159.0,26159.0
Ludwigsfelde,52.2997,13.2667,Germany,DE,Brandenburg,26112.0,26112.0
Mühlacker,48.95,8.8392,Germany,DE,Baden-Württemberg,26076.0,26076.0
Heppenheim,49.6415,8.645,Germany,DE,Hesse,26023.0,26023.0
Selm,51.6833,7.4833,Germany,DE,North Rhine-Westphalia,26011.0,26011.0
Weiterstadt,49.9,8.6,Germany,DE,Hesse,25975.0,25975.0
Pfaffenhofen,48.5333,11.5167,Germany,DE,Bavaria,25917.0,25917.0
Kulmbach,50.1,11.4333,Germany,DE,Bavaria,25915.0,25915.0
Sankt Wendel,49.4667,7.1667,Germany,DE,Saarland,25862.0,25862.0
Teltow,52.4022,13.2706,Germany,DE,Brandenburg,25825.0,25825.0
Bad Honnef am Rhein,50.645,7.2269,Germany,DE,North Rhine-Westphalia,25816.0,25816.0
Helmstedt,52.2281,11.0106,Germany,DE,Lower Saxony,25728.0,25728.0
Bingen am Rhein,49.9669,7.895,Germany,DE,Rhineland-Palatinate,25659.0,25659.0
Achern,48.6314,8.0739,Germany,DE,Baden-Württemberg,25630.0,25630.0
Zirndorf,49.45,10.95,Germany,DE,Bavaria,25596.0,25596.0
Roth,49.2461,11.0911,Germany,DE,Bavaria,25593.0,25593.0
Lennestadt,51.1236,8.0681,Germany,DE,North Rhine-Westphalia,25503.0,25503.0
Verl,51.8831,8.5167,Germany,DE,North Rhine-Westphalia,25498.0,25498.0
Lindau,47.5458,9.6839,Germany,DE,Bavaria,25490.0,25490.0
Lübbecke,52.3081,8.6231,Germany,DE,North Rhine-Westphalia,25490.0,25490.0
Rinteln,52.1906,9.0814,Germany,DE,Lower Saxony,25484.0,25484.0
Brilon,51.3956,8.5678,Germany,DE,North Rhine-Westphalia,25417.0,25417.0
Staßfurt,51.8667,11.5667,Germany,DE,Saxony-Anhalt,25385.0,25385.0
Zittau,50.8961,14.8072,Germany,DE,Saxony,25381.0,25381.0
Plettenberg,51.2128,7.8715,Germany,DE,North Rhine-Westphalia,25318.0,25318.0
Groß-Gerau,49.9214,8.4818,Germany,DE,Hesse,25302.0,25302.0
Schleswig,54.5153,9.5697,Germany,DE,Schleswig-Holstein,25276.0,25276.0
Geretsried,47.8667,11.4667,Germany,DE,Bavaria,25275.0,25275.0
Rottweil,48.1681,8.6247,Germany,DE,Baden-Württemberg,25274.0,25274.0
Friedrichsdorf,50.2569,8.6418,Germany,DE,Hesse,25194.0,25194.0
Petershagen,52.3833,8.9667,Germany,DE,North Rhine-Westphalia,25168.0,25168.0
Pfungstadt,49.8056,8.6044,Germany,DE,Hesse,25151.0,25151.0
Harsewinkel,51.9667,8.2331,Germany,DE,North Rhine-Westphalia,25147.0,25147.0
Wiehl,50.95,7.5333,Germany,DE,North Rhine-Westphalia,25135.0,25135.0
Horb am Neckar,48.445,8.6911,Germany,DE,Baden-Württemberg,25135.0,25135.0
Rudolstadt,50.7169,11.3275,Germany,DE,Thuringia,25115.0,25115.0
Salzkotten,51.6708,8.6047,Germany,DE,North Rhine-Westphalia,25062.0,25062.0
Norden,53.5967,7.2056,Germany,DE,Lower Saxony,25060.0,25060.0
Weingarten,47.8078,9.6417,Germany,DE,Baden-Württemberg,24943.0,24943.0
Obertshausen,50.0715,8.8482,Germany,DE,Hesse,24943.0,24943.0
Idstein,50.2206,8.2692,Germany,DE,Hesse,24897.0,24897.0
Ditzingen,48.8264,9.0667,Germany,DE,Baden-Württemberg,24883.0,24883.0
Schmallenberg,51.1333,8.3,Germany,DE,North Rhine-Westphalia,24869.0,24869.0
Delitzsch,51.5264,12.3425,Germany,DE,Saxony,24868.0,24868.0
Warstein,51.45,8.3667,Germany,DE,North Rhine-Westphalia,24842.0,24842.0
Sprockhövel,51.3614,7.244,Germany,DE,North Rhine-Westphalia,24747.0,24747.0
Bad Oldesloe,53.8117,10.3742,Germany,DE,Schleswig-Holstein,24744.0,24744.0
Olpe,51.0289,7.8514,Germany,DE,North Rhine-Westphalia,24688.0,24688.0
Espelkamp,52.3772,8.6328,Germany,DE,North Rhine-Westphalia,24685.0,24685.0
Rathenow,52.6,12.3333,Germany,DE,Brandenburg,24309.0,24309.0
Senftenberg,51.5167,14.0167,Germany,DE,Brandenburg,24275.0,24275.0
Meiningen,50.55,10.4167,Germany,DE,Thuringia,24233.0,24233.0
Waldshut-Tiengen,47.6231,8.2144,Germany,DE,Baden-Württemberg,24226.0,24226.0
Sonneberg,50.35,11.1667,Germany,DE,Thuringia,23830.0,23830.0
Salzwedel,52.85,11.15,Germany,DE,Saxony-Anhalt,23655.0,23655.0
Calw,48.7144,8.7375,Germany,DE,Baden-Württemberg,23590.0,23590.0
Korbach,51.2719,8.8731,Germany,DE,Hesse,23581.0,23581.0
Starnberg,47.9972,11.3406,Germany,DE,Bavaria,23498.0,23498.0
Freudenstadt,48.4633,8.4111,Germany,DE,Baden-Württemberg,23442.0,23442.0
Mosbach,49.35,9.1333,Germany,DE,Baden-Württemberg,23398.0,23398.0
Husum,54.4769,9.0511,Germany,DE,Schleswig-Holstein,23158.0,23158.0
Westerstede,53.25,7.9167,Germany,DE,Lower Saxony,22778.0,22778.0
Burg,52.2725,11.855,Germany,DE,Saxony-Anhalt,22478.0,22478.0
Weilheim,47.8333,11.1333,Germany,DE,Bavaria,22477.0,22477.0
Bad Kissingen,50.2,10.0667,Germany,DE,Bavaria,22444.0,22444.0
Stadthagen,52.3247,9.2069,Germany,DE,Lower Saxony,22247.0,22247.0
Apolda,51.0247,11.5139,Germany,DE,Thuringia,22012.0,22012.0
Osterode,51.7286,10.2522,Germany,DE,Lower Saxony,21731.0,21731.0
Kitzingen,49.7333,10.1667,Germany,DE,Bavaria,21704.0,21704.0
Heide,54.1961,9.0933,Germany,DE,Schleswig-Holstein,21684.0,21684.0
Sonthofen,47.5142,10.2817,Germany,DE,Bavaria,21541.0,21541.0
Sondershausen,51.3667,10.8667,Germany,DE,Thuringia,21513.0,21513.0
Aichach,48.45,11.1333,Germany,DE,Bavaria,21434.0,21434.0
Germersheim,49.2167,8.3667,Germany,DE,Rhineland-Palatinate,20779.0,20779.0
Günzburg,48.4525,10.2711,Germany,DE,Bavaria,20707.0,20707.0
Luckenwalde,52.0831,13.1667,Germany,DE,Brandenburg,20522.0,20522.0
Traunstein,47.8683,12.6433,Germany,DE,Bavaria,20520.0,20520.0
Mühldorf,48.2456,12.5228,Germany,DE,Bavaria,20323.0,20323.0
Wittmund,53.5747,7.7808,Germany,DE,Lower Saxony,20321.0,20321.0
Bad Salzungen,50.8117,10.2333,Germany,DE,Thuringia,20244.0,20244.0
Lichtenfels,50.1333,11.0333,Germany,DE,Bavaria,20133.0,20133.0
Greiz,50.6547,12.1997,Germany,DE,Thuringia,20103.0,20103.0
Donauwörth,48.7184,10.777,Germany,DE,Bavaria,20080.0,20080.0
Torgau,51.5603,13.0056,Germany,DE,Saxony,20065.0,20065.0
Holzminden,51.8297,9.4483,Germany,DE,Lower Saxony,19998.0,19998.0
Dingolfing,48.6333,12.5,Germany,DE,Bavaria,19839.0,19839.0
Annaberg-Buchholz,50.58,13.0022,Germany,DE,Saxony,19769.0,19769.0
Eschwege,51.1881,10.0528,Germany,DE,Hesse,19606.0,19606.0
Haldensleben,52.2833,11.4167,Germany,DE,Saxony-Anhalt,19247.0,19247.0
Sömmerda,51.1617,11.1169,Germany,DE,Thuringia,19034.0,19034.0
Prenzlau,53.3167,13.8667,Germany,DE,Brandenburg,19024.0,19024.0
Wittlich,49.9869,6.8897,Germany,DE,Rhineland-Palatinate,18995.0,18995.0
Dillingen,48.5667,10.4667,Germany,DE,Bavaria,18978.0,18978.0
Bad Tölz,47.7603,11.5567,Germany,DE,Bavaria,18802.0,18802.0
Marktoberdorf,47.7667,10.6167,Germany,DE,Bavaria,18539.0,18539.0
Alzey,49.7517,8.1161,Germany,DE,Rhineland-Palatinate,18535.0,18535.0
Bad Dürkheim,49.4618,8.1724,Germany,DE,Rhineland-Palatinate,18476.0,18476.0
Weißenburg,49.0306,10.9719,Germany,DE,Bavaria,18464.0,18464.0
Bad Reichenhall,47.7247,12.8769,Germany,DE,Bavaria,18278.0,18278.0
Forst,51.7333,14.6333,Germany,DE,Brandenburg,18164.0,18164.0
Parchim,53.4167,11.8333,Germany,DE,Mecklenburg-Western Pomerania,18037.0,18037.0
Sigmaringen,48.0867,9.2164,Germany,DE,Baden-Württemberg,17278.0,17278.0
Bad Segeberg,53.9356,10.3089,Germany,DE,Schleswig-Holstein,17267.0,17267.0
Heilbad Heiligenstadt,51.3775,10.1344,Germany,DE,Thuringia,17105.0,17105.0
Eutin,54.1378,10.6181,Germany,DE,Schleswig-Holstein,16971.0,16971.0
Cham,49.2183,12.6658,Germany,DE,Bavaria,16907.0,16907.0
Diepholz,52.6072,8.3711,Germany,DE,Lower Saxony,16882.0,16882.0
Kronach,50.2411,11.3281,Germany,DE,Bavaria,16874.0,16874.0
Kelheim,48.9167,11.8667,Germany,DE,Bavaria,16714.0,16714.0
Bad Neustadt,50.3219,10.2161,Germany,DE,Bavaria,15411.0,15411.0
Künzelsau,49.2833,9.6833,Germany,DE,Baden-Württemberg,15391.0,15391.0
Mindelheim,48.0333,10.4667,Germany,DE,Bavaria,15002.0,15002.0
Brake,53.3333,8.4833,Germany,DE,Lower Saxony,14965.0,14965.0
Bitburg,49.9747,6.5256,Germany,DE,Rhineland-Palatinate,14904.0,14904.0
Ratzeburg,53.7017,10.7567,Germany,DE,Schleswig-Holstein,14652.0,14652.0
Jever,53.5744,7.9008,Germany,DE,Lower Saxony,14301.0,14301.0
Lübben,51.95,13.9,Germany,DE,Brandenburg,14024.0,14024.0
Montabaur,50.4375,7.8258,Germany,DE,Rhineland-Palatinate,13691.0,13691.0
Erbach,49.6569,8.9931,Germany,DE,Hesse,13666.0,13666.0
Lauterbach,50.6378,9.3944,Germany,DE,Hesse,13664.0,13664.0
Haßfurt,50.0353,10.5123,Germany,DE,Bavaria,13609.0,13609.0
Eichstätt,48.8919,11.1839,Germany,DE,Bavaria,13525.0,13525.0
Tauberbischofsheim,49.6225,9.6628,Germany,DE,Baden-Württemberg,13231.0,13231.0
Neustadt,49.58,10.6089,Germany,DE,Bavaria,13121.0,13121.0
Pfarrkirchen,48.4419,12.9443,Germany,DE,Bavaria,12677.0,12677.0
Ebersberg,48.0833,11.9667,Germany,DE,Bavaria,12239.0,12239.0
Perleberg,53.0667,11.8667,Germany,DE,Brandenburg,12141.0,12141.0
Bad Fallingbostel,52.8675,9.6967,Germany,DE,Lower Saxony,11852.0,11852.0
Hildburghausen,50.4261,10.7289,Germany,DE,Thuringia,11836.0,11836.0
Miesbach,47.789,11.8338,Germany,DE,Bavaria,11562.0,11562.0
Bad Schwalbach,50.1401,8.0694,Germany,DE,Hesse,11187.0,11187.0
Regen,48.97,13.1264,Germany,DE,Bavaria,11001.0,11001.0
Eisenberg,50.9667,11.9,Germany,DE,Thuringia,10885.0,10885.0
Altötting,48.2264,12.6759,Germany,DE,Bavaria,10119.0,10119.0
Bad Ems,50.3381,7.7106,Germany,DE,Rhineland-Palatinate,9681.0,9681.0
Lüchow,52.9667,11.15,Germany,DE,Lower Saxony,9420.0,9420.0
Miltenberg,49.7039,9.2644,Germany,DE,Bavaria,9355.0,9355.0
Wunsiedel,50.0374,11.9994,Germany,DE,Bavaria,9259.0,9259.0
Herzberg,51.6831,13.2331,Germany,DE,Brandenburg,9027.0,9027.0
Plön,54.1622,10.4214,Germany,DE,Schleswig-Holstein,8914.0,8914.0
Schleiz,50.5833,11.8167,Germany,DE,Thuringia,8854.0,8854.0
Tirschenreuth,49.8789,12.3369,Germany,DE,Bavaria,8707.0,8707.0
Beeskow,52.1667,14.25,Germany,DE,Brandenburg,8042.0,8042.0
Daun,50.1986,6.8319,Germany,DE,Rhineland-Palatinate,7974.0,7974.0
Simmern,49.9833,7.5167,Germany,DE,Rhineland-Palatinate,7950.0,7950.0
